Designator,Footprint,Mid X mm,Mid Y mm,Layer,Rotation,,Value
C4,C_0603,80.614,29.755,top,180,,100n
C5,C_0603,77.265,29.755,top,180,,100n
C9,C_0603,81.026,65.823,top,0,,100n
C19,C_0603,194.514,51.471,top,0,,100n
C34,C_0603,191.314,51.471,top,0,,100n
C36,C_0603,194.614,48.971,top,0,,100n
C37,C_0603,191.262,48.971,top,0,,100n
C38,C_0603,161.514,65.971,top,0,,100n
C39,C_0603,158.114,65.971,top,0,,100n
C43,C_0603,32.258,71.371,top,90,,100n
C44,C_0603,32.258,74.459,top,90,,100n
C47,C_0603,84.614,65.771,top,0,,100n
R9,R_0603,50.292,45.757,top,180,,1k
R11,R_0603,32.258,62.775,top,0,,1k
R18,R_0603,90.014,45.471,top,180,,1k
R19,R_0603,71.12,52.361,top,90,,1k
R21,R_0603,119.634,41.693,top,90,,1k
R23,R_0603,107.95,55.409,top,180,,1k
R25,R_0603,153.416,45.757,top,90,,1k
R28,R_0603,153.162,51.345,top,90,,1k
R30,R_0603,172.014,45.971,top,90,,1k
R34,R_0603,178.514,47.971,top,180,,1k
##,,,,,,,End
